,Region,Vox,Region_Top10U,Vox_Top10U,Region_SMOTE,Vox_SMOTE
Dummy,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.5,0.5
RandomForest,0.6229508196721312,0.7431693989071039,0.8142076502732241,0.7923497267759563,0.7136752136752137,0.8418803418803419
GBDT,0.8524590163934426,0.8579234972677595,0.907103825136612,0.8907103825136612,0.8931623931623932,0.9230769230769231
KNN,0.546448087431694,0.5956284153005464,0.8360655737704918,0.8852459016393442,0.5,0.5
Ridge,0.639344262295082,0.639344262295082,0.8469945355191257,0.819672131147541,0.8547008547008547,0.8717948717948718
SVM,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.47435897435897434,0.47435897435897434
